time	V(D,G)	V(a1)	V(l)	Ix(U1:G)
1.233304336067641e-02	-1.425995e+01	-3.356053e+01	-6.872079e-01	-6.817244e-03
1.251304336067640e-02	-1.426913e+01	-3.570248e+01	-7.776700e-01	-7.718441e-03
1.269304336067640e-02	-1.427725e+01	-3.778227e+01	-8.648660e-01	-8.587070e-03
1.287304336067639e-02	-1.428445e+01	-3.978857e+01	-9.484795e-01	-9.419998e-03
1.307304336067638e-02	-1.429158e+01	-4.191945e+01	-1.036838e+00	-1.030018e-02
1.327304336067637e-02	-1.429791e+01	-4.393510e+01	-1.120072e+00	-1.112929e-02
1.349304336067636e-02	-1.430408e+01	-4.600643e+01	-1.205330e+00	-1.197855e-02
1.371304336067635e-02	-1.430946e+01	-4.791273e+01	-1.283615e+00	-1.275835e-02
1.395304336067634e-02	-1.431456e+01	-4.979113e+01	-1.360657e+00	-1.352577e-02
1.421304336067633e-02	-1.431926e+01	-5.157514e+01	-1.433827e+00	-1.425461e-02
1.449304336067632e-02	-1.432337e+01	-5.318955e+01	-1.500161e+00	-1.491536e-02
1.481304336067631e-02	-1.432695e+01	-5.462786e+01	-1.559571e+00	-1.550716e-02
1.513304336067630e-02	-1.432940e+01	-5.561732e+01	-1.600980e+00	-1.591967e-02
1.551304336067628e-02	-1.433086e+01	-5.619476e+01	-1.626284e+00	-1.617178e-02
1.589304336067627e-02	-1.433083e+01	-5.611523e+01	-1.625410e+00	-1.616318e-02
1.625304336067625e-02	-1.432938e+01	-5.543433e+01	-1.600491e+00	-1.591508e-02
1.651304336067624e-02	-1.432744e+01	-5.458062e+01	-1.568105e+00	-1.559259e-02
1.667304336067623e-02	-1.432590e+01	-5.390696e+01	-1.542282e+00	-1.533545e-02
1.673304336067623e-02	-1.432527e+01	-5.362562e+01	-1.531457e+00	-1.522765e-02
1.677304336067623e-02	-1.432481e+01	-5.342944e+01	-1.523898e+00	-1.515237e-02
1.691304336067622e-02	-1.432305e+01	-5.268893e+01	-1.495301e+00	-1.486759e-02
1.715304336067621e-02	-1.431954e+01	-5.122806e+01	-1.438672e+00	-1.430365e-02
1.747304336067620e-02	-1.431379e+01	-4.891685e+01	-1.348730e+00	-1.340793e-02
1.785304336067619e-02	-1.430524e+01	-4.566288e+01	-1.221686e+00	-1.214271e-02
1.825304336067617e-02	-1.429388e+01	-4.168830e+01	-1.066139e+00	-1.059362e-02
1.865304336067615e-02	-1.427955e+01	-3.721111e+01	-8.906538e-01	-8.845946e-03
1.905304336067614e-02	-1.426112e+01	-3.230019e+01	-6.980296e-01	-6.927580e-03
1.943304336067612e-02	-1.423754e+01	-2.730022e+01	-5.019774e-01	-4.975082e-03
1.979304336067611e-02	-1.420425e+01	-2.231995e+01	-3.071924e-01	-3.035222e-03
1.999304336067610e-02	-1.417482e+01	-1.946405e+01	-1.962401e-01	-1.930306e-03
2.000000000000000e-02	-1.417348e+01	-1.936355e+01	-1.923561e-01	-1.891636e-03 Step Information: A=500m  (Step: 2/3)
0.000000000000000e+00	-1.550296e-22	-5.703178e-23	1.140634e-24	1.150321e-26
5.919906249035405e-07	7.468054e-06	2.051039e-05	2.585698e-08	2.298360e-10
