v1	V(a)	V(vcc)	I(R1)
3.170000000000000e+02	3.157643e+02	3.170000e+02	2.629182e-04
3.180000000000000e+02	3.167604e+02	3.180000e+02	2.637476e-04
3.190000000000000e+02	3.177565e+02	3.190000e+02	2.645770e-04
3.200000000000000e+02	3.187526e+02	3.200000e+02	2.654064e-04
3.210000000000000e+02	3.197487e+02	3.210000e+02	2.662358e-04
3.220000000000000e+02	3.207448e+02	3.220000e+02	2.670652e-04
3.230000000000000e+02	3.217409e+02	3.230000e+02	2.678946e-04
3.240000000000000e+02	3.227370e+02	3.240000e+02	2.687240e-04
3.250000000000000e+02	3.237331e+02	3.250000e+02	2.695534e-04
3.260000000000000e+02	3.247292e+02	3.260000e+02	2.703828e-04
3.270000000000000e+02	3.257253e+02	3.270000e+02	2.712122e-04
3.280000000000000e+02	3.267214e+02	3.280000e+02	2.720416e-04
3.290000000000000e+02	3.277175e+02	3.290000e+02	2.728710e-04
3.300000000000000e+02	3.287136e+02	3.300000e+02	2.737003e-04
3.310000000000000e+02	3.297097e+02	3.310000e+02	2.745297e-04
3.320000000000000e+02	3.307058e+02	3.320000e+02	2.753591e-04
3.330000000000000e+02	3.317019e+02	3.330000e+02	2.761885e-04
3.340000000000000e+02	3.326980e+02	3.340000e+02	2.770179e-04
3.350000000000000e+02	3.336941e+02	3.350000e+02	2.778473e-04
3.360000000000000e+02	3.346902e+02	3.360000e+02	2.786767e-04
3.370000000000000e+02	3.356863e+02	3.370000e+02	2.795061e-04
3.380000000000000e+02	3.366824e+02	3.380000e+02	2.803355e-04
3.390000000000000e+02	3.376785e+02	3.390000e+02	2.811649e-04
3.400000000000000e+02	3.386746e+02	3.400000e+02	2.819943e-04
3.410000000000000e+02	3.396707e+02	3.410000e+02	2.828237e-04
3.420000000000000e+02	3.406668e+02	3.420000e+02	2.836531e-04
3.430000000000000e+02	3.416629e+02	3.430000e+02	2.844825e-04
3.440000000000000e+02	3.426590e+02	3.440000e+02	2.853119e-04
3.450000000000000e+02	3.436551e+02	3.450000e+02	2.861413e-04
3.460000000000000e+02	3.446512e+02	3.460000e+02	2.869707e-04
3.470000000000000e+02	3.456473e+02	3.470000e+02	2.878001e-04
3.480000000000000e+02	3.466434e+02	3.480000e+02	2.886295e-04
3.490000000000000e+02	3.476396e+02	3.490000e+02	2.894589e-04
3.500000000000000e+02	3.486357e+02	3.500000e+02	2.902883e-04
3.510000000000000e+02	3.496317e+02	3.510000e+02	2.911177e-04
3.520000000000000e+02	3.506278e+02	3.520000e+02	2.919471e-04
3.530000000000000e+02	3.516240e+02	3.530000e+02	2.927765e-04
3.540000000000000e+02	3.526201e+02	3.540000e+02	2.936059e-04
3.550000000000000e+02	3.536161e+02	3.550000e+02	2.944353e-04
3.560000000000000e+02	3.546122e+02	3.560000e+02	2.952647e-04
3.570000000000000e+02	3.556084e+02	3.570000e+02	2.960941e-04
3.580000000000000e+02	3.566045e+02	3.580000e+02	2.969235e-04
3.590000000000000e+02	3.576006e+02	3.590000e+02	2.977529e-04
3.600000000000000e+02	3.585966e+02	3.600000e+02	2.985823e-04
3.610000000000000e+02	3.595928e+02	3.610000e+02	2.994117e-04
3.620000000000000e+02	3.605889e+02	3.620000e+02	3.002411e-04
3.630000000000000e+02	3.615850e+02	3.630000e+02	3.010706e-04
3.640000000000000e+02	3.625811e+02	3.640000e+02	3.019000e-04
3.650000000000000e+02	3.635772e+02	3.650000e+02	3.027294e-04
3.660000000000000e+02	3.645733e+02	3.660000e+02	3.035588e-04
3.670000000000000e+02	3.655694e+02	3.670000e+02	3.043882e-04
3.680000000000000e+02	3.665655e+02	3.680000e+02	3.052176e-04
3.690000000000000e+02	3.675616e+02	3.690000e+02	3.060470e-04
3.700000000000000e+02	3.685577e+02	3.700000e+02	3.068764e-04
3.710000000000000e+02	3.695538e+02	3.710000e+02	3.077058e-04
3.720000000000000e+02	3.705499e+02	3.720000e+02	3.085352e-04
3.730000000000000e+02	3.715460e+02	3.730000e+02	3.093646e-04
3.740000000000000e+02	3.725421e+02	3.740000e+02	3.101940e-04
3.750000000000000e+02	3.735382e+02	3.750000e+02	3.110234e-04
3.760000000000000e+02	3.745343e+02	3.760000e+02	3.118528e-04
3.770000000000000e+02	3.755304e+02	3.770000e+02	3.126822e-04
3.780000000000000e+02	3.765265e+02	3.780000e+02	3.135116e-04
3.790000000000000e+02	3.775226e+02	3.790000e+02	3.143410e-04
3.800000000000000e+02	3.785187e+02	3.800000e+02	3.151705e-04
3.810000000000000e+02	3.795148e+02	3.810000e+02	3.159999e-04
3.820000000000000e+02	3.805109e+02	3.820000e+02	3.168293e-04
3.830000000000000e+02	3.815070e+02	3.830000e+02	3.176587e-04
3.840000000000000e+02	3.825031e+02	3.840000e+02	3.184881e-04
3.850000000000000e+02	3.834992e+02	3.850000e+02	3.193175e-04
3.860000000000000e+02	3.844953e+02	3.860000e+02	3.201469e-04
3.870000000000000e+02	3.854914e+02	3.870000e+02	3.209763e-04
3.880000000000000e+02	3.864875e+02	3.880000e+02	3.218058e-04
3.890000000000000e+02	3.874836e+02	3.890000e+02	3.226352e-04
3.900000000000000e+02	3.884797e+02	3.900000e+02	3.234646e-04
3.910000000000000e+02	3.894758e+02	3.910000e+02	3.242940e-04
3.920000000000000e+02	3.904719e+02	3.920000e+02	3.251234e-04
3.930000000000000e+02	3.914680e+02	3.930000e+02	3.259528e-04
3.940000000000000e+02	3.924641e+02	3.940000e+02	3.267823e-04
